viti,komuna,personeli ndihmës,gjinia,Personeli ndihmës sipas niveleve
2016/2017,Hani i Elezit,Fillor dhe i mesëm i ulët,Femra,-
2016/2017,Hani i Elezit,Fillor dhe i mesëm i ulët,Gjithsej,11
2016/2017,Hani i Elezit,I mesëm i lartë,Meshkuj,2
2016/2017,Hani i Elezit,I mesëm i lartë,Femra,-
2016/2017,Hani i Elezit,I mesëm i lartë,Gjithsej,2
2016/2017,Istog,Parashkollor,Meshkuj,8
2016/2017,Istog,Parashkollor,Femra,11
2016/2017,Istog,Parashkollor,Gjithsej,19
2016/2017,Istog,Fillor dhe i mesëm i ulët,Meshkuj,60
2016/2017,Istog,Fillor dhe i mesëm i ulët,Femra,7
2016/2017,Istog,Fillor dhe i mesëm i ulët,Gjithsej,67
2016/2017,Istog,I mesëm i lartë,Meshkuj,3
2016/2017,Istog,I mesëm i lartë,Femra,2
2016/2017,Istog,I mesëm i lartë,Gjithsej,5
2016/2017,Junik,Parashkollor,Meshkuj,-
2016/2017,Junik,Parashkollor,Femra,-
2016/2017,Junik,Parashkollor,Gjithsej,-
2016/2017,Junik,Fillor dhe i mesëm i ulët,Meshkuj,5
2016/2017,Junik,Fillor dhe i mesëm i ulët,Femra,1
2016/2017,Junik,Fillor dhe i mesëm i ulët,Gjithsej,6
2016/2017,Junik,I mesëm i lartë,Meshkuj,3
2016/2017,Junik,I mesëm i lartë,Femra,-
2016/2017,Junik,I mesëm i lartë,Gjithsej,3
2016/2017,Kaçanik,Parashkollor,Meshkuj,2
2016/2017,Kaçanik,Parashkollor,Femra,-
2016/2017,Kaçanik,Parashkollor,Gjithsej,2
2016/2017,Kaçanik,Fillor dhe i mesëm i ulët,Meshkuj,39
2016/2017,Kaçanik,Fillor dhe i mesëm i ulët,Femra,1
2016/2017,Kaçanik,Fillor dhe i mesëm i ulët,Gjithsej,40
2016/2017,Kaçanik,I mesëm i lartë,Meshkuj,5
2016/2017,Kaçanik,I mesëm i lartë,Femra,-
2016/2017,Kaçanik,I mesëm i lartë,Gjithsej,5
2016/2017,Kamenicë,Parashkollor,Meshkuj,2
2016/2017,Kamenicë,Parashkollor,Femra,2
2016/2017,Kamenicë,Parashkollor,Gjithsej,4
2016/2017,Kamenicë,Fillor dhe i mesëm i ulët,Meshkuj,78
2016/2017,Kamenicë,Fillor dhe i mesëm i ulët,Femra,3
2016/2017,Kamenicë,Fillor dhe i mesëm i ulët,Gjithsej,81
2016/2017,Kamenicë,I mesëm i lartë,Meshkuj,16
2016/2017,Kamenicë,I mesëm i lartë,Femra,1
2016/2017,Kamenicë,I mesëm i lartë,Gjithsej,17
2016/2017,Klinë,Parashkollor,Meshkuj,2
2016/2017,Klinë,Parashkollor,Femra,3
2016/2017,Klinë,Parashkollor,Gjithsej,5
2016/2017,Klinë,Fillor dhe i mesëm i ulët,Meshkuj,59
2016/2017,Klinë,Fillor dhe i mesëm i ulët,Femra,1
2016/2017,Klinë,Fillor dhe i mesëm i ulët,Gjithsej,60
2016/2017,Klinë,I mesëm i lartë,Meshkuj,15
2016/2017,Klinë,I mesëm i lartë,Femra,-
2016/2017,Klinë,I mesëm i lartë,Gjithsej,15
2016/2017,Leposaviq,Parashkollor,Meshkuj,-
