viti,komuna,variabla,gjinia,Mësimdhënësit sipas niveleve
2015/2016,Viti,I Mesëm i lartë,Meshkuj,105
2015/2016,Viti,I Mesëm i lartë,Femra,46
2015/2016,Viti,I Mesëm i lartë,Gjithsej,151
2015/2016,Vushtrri,Parashkollor,Meshkuj,-
2015/2016,Vushtrri,Parashkollor,Femra,15
2015/2016,Vushtrri,Parashkollor,Gjithsej,15
2015/2016,Vushtrri,Paraf.fillor dhe i mesëm i ulët,Meshkuj,273
2015/2016,Vushtrri,Paraf.fillor dhe i mesëm i ulët,Femra,282
2015/2016,Vushtrri,Paraf.fillor dhe i mesëm i ulët,Gjithsej,555
2015/2016,Vushtrri,I Mesëm i lartë,Meshkuj,140
2015/2016,Vushtrri,I Mesëm i lartë,Femra,53
2015/2016,Vushtrri,I Mesëm i lartë,Gjithsej,193
2015/2016,Zubin Potok,Parashkollor,Meshkuj,-
2015/2016,Zubin Potok,Parashkollor,Femra,-
2015/2016,Zubin Potok,Parashkollor,Gjithsej,-
2015/2016,Zubin Potok,Paraf.fillor dhe i mesëm i ulët,Meshkuj,6
2015/2016,Zubin Potok,Paraf.fillor dhe i mesëm i ulët,Femra,6
2015/2016,Zubin Potok,Paraf.fillor dhe i mesëm i ulët,Gjithsej,12
2015/2016,Zubin Potok,I Mesëm i lartë,Meshkuj,-
2015/2016,Zubin Potok,I Mesëm i lartë,Femra,-
2015/2016,Zubin Potok,I Mesëm i lartë,Gjithsej,-
2015/2016,Zveçan,Parashkollor,Meshkuj,-
2015/2016,Zveçan,Parashkollor,Femra,-
2015/2016,Zveçan,Parashkollor,Gjithsej,-
2015/2016,Zveçan,Paraf.fillor dhe i mesëm i ulët,Meshkuj,6
2015/2016,Zveçan,Paraf.fillor dhe i mesëm i ulët,Femra,11
2015/2016,Zveçan,Paraf.fillor dhe i mesëm i ulët,Gjithsej,17
2015/2016,Zveçan,I Mesëm i lartë,Meshkuj,-
2015/2016,Zveçan,I Mesëm i lartë,Femra,-
2015/2016,Zveçan,I Mesëm i lartë,Gjithsej,-
2015/2016,Kllokot,Parashkollor,Meshkuj,-
2015/2016,Kllokot,Parashkollor,Femra,-
2015/2016,Kllokot,Parashkollor,Gjithsej,-
2015/2016,Kllokot,Paraf.fillor dhe i mesëm i ulët,Meshkuj,4
2015/2016,Kllokot,Paraf.fillor dhe i mesëm i ulët,Femra,8
2015/2016,Kllokot,Paraf.fillor dhe i mesëm i ulët,Gjithsej,12
2015/2016,Kllokot,I Mesëm i lartë,Meshkuj,-
2015/2016,Kllokot,I Mesëm i lartë,Femra,-
2015/2016,Kllokot,I Mesëm i lartë,Gjithsej,-
2015/2016,Gjithsej,Parashkollor,Meshkuj,2
2015/2016,Gjithsej,Parashkollor,Femra,526
2015/2016,Gjithsej,Parashkollor,Gjithsej,528
2015/2016,Gjithsej,Paraf.fillor dhe i mesëm i ulët,Meshkuj,8269
2015/2016,Gjithsej,Paraf.fillor dhe i mesëm i ulët,Femra,9294
