Komuna,Viti Akademik,Niveli Akademik,Mosha,Gjinia,Numri i nxenesve
Prizren,2019-2020,Para-fillor,5-6,Femer,874
Rahovec,2019-2020,Para-fillor,5-6,Mashkull,431
Rahovec,2019-2020,Para-fillor,5-6,Femer,384
Shterpce,2019-2020,Para-fillor,5-6,Mashkull,13
Shterpce,2019-2020,Para-fillor,5-6,Femer,18
Shtime,2019-2020,Para-fillor,5-6,Mashkull,204
Shtime,2019-2020,Para-fillor,5-6,Femer,180
Skenderaj,2019-2020,Para-fillor,5-6,Mashkull,349
Skenderaj,2019-2020,Para-fillor,5-6,Femer,314
Suhareke,2019-2020,Para-fillor,5-6,Mashkull,370
Suhareke,2019-2020,Para-fillor,5-6,Femer,331
Viti,2019-2020,Para-fillor,5-6,Mashkull,283
Viti,2019-2020,Para-fillor,5-6,Femer,248
Vushtrri,2019-2020,Para-fillor,5-6,Mashkull,489
Vushtrri,2019-2020,Para-fillor,5-6,Femer,448
Zubin Potok,2019-2020,Para-fillor,5-6,Mashkull,7
Zubin Potok,2019-2020,Para-fillor,5-6,Femer,6
Zveqan,2019-2020,Para-fillor,5-6,Mashkull,-
Zveqan,2019-2020,Para-fillor,5-6,Femer,-
Kllokot,2019-2020,Para-fillor,5-6,Mashkull,-
Kllokot,2019-2020,Para-fillor,5-6,Femer,-
Deqan,2020-2021,Para-fillor,5-6,Mashkull,230
Deqan,2020-2021,Para-fillor,5-6,Femer,209
Dargash,2020-2021,Para-fillor,5-6,Mashkull,124
Dargash,2020-2021,Para-fillor,5-6,Femer,151
Ferizaj,2020-2021,Para-fillor,5-6,Mashkull,767
Ferizaj,2020-2021,Para-fillor,5-6,Femer,683
Fushe Kosove,2020-2021,Para-fillor,5-6,Mashkull,74
Fushe Kosove,2020-2021,Para-fillor,5-6,Femer,67
Gjakove,2020-2021,Para-fillor,5-6,Mashkull,488
Gjakove,2020-2021,Para-fillor,5-6,Femer,489
Gjilan,2020-2021,Para-fillor,5-6,Mashkull,579
Gjilan,2020-2021,Para-fillor,5-6,Femer,492
Gllogovc,2020-2021,Para-fillor,5-6,Mashkull,450
Gllogovc,2020-2021,Para-fillor,5-6,Femer,405
Hani i Elezit,2020-2021,Para-fillor,5-6,Mashkull,74
Hani i Elezit,2020-2021,Para-fillor,5-6,Femer,64
Istog,2020-2021,Para-fillor,5-6,Mashkull,219
Istog,2020-2021,Para-fillor,5-6,Femer,238
Junik,2020-2021,Para-fillor,5-6,Mashkull,31
Junik,2020-2021,Para-fillor,5-6,Femer,17
Kaqanik,2020-2021,Para-fillor,5-6,Mashkull,231
Kaqanik,2020-2021,Para-fillor,5-6,Femer,199
Kamenice,2020-2021,Para-fillor,5-6,Mashkull,137
Kamenice,2020-2021,Para-fillor,5-6,Femer,132
Kline,2020-2021,Para-fillor,5-6,Mashkull,256
Kline,2020-2021,Para-fillor,5-6,Femer,249
Leposaviq,2020-2021,Para-fillor,5-6,Mashkull,-
Leposaviq,2020-2021,Para-fillor,5-6,Femer,-
Lipjan,2020-2021,Para-fillor,5-6,Mashkull,429
Lipjan,2020-2021,Para-fillor,5-6,Femer,385
Malisheve,2020-2021,Para-fillor,5-6,Mashkull,438
Malisheve,2020-2021,Para-fillor,5-6,Femer,375
Mamushe,2020-2021,Para-fillor,5-6,Mashkull,36
Mamushe,2020-2021,Para-fillor,5-6,Femer,33
Mitrovice,2020-2021,Para-fillor,5-6,Mashkull,470
Mitrovice,2020-2021,Para-fillor,5-6,Femer,470
Novoberde,2020-2021,Para-fillor,5-6,Mashkull,18
Novoberde,2020-2021,Para-fillor,5-6,Femer,33
Obiliq,2020-2021,Para-fillor,5-6,Mashkull,148
Obiliq,2020-2021,Para-fillor,5-6,Femer,145
Peje,2020-2021,Para-fillor,5-6,Mashkull,551
Peje,2020-2021,Para-fillor,5-6,Femer,508
Podujeve,2020-2021,Para-fillor,5-6,Mashkull,537
Podujeve,2020-2021,Para-fillor,5-6,Femer,507
Prishtine,2020-2021,Para-fillor,5-6,Mashkull,1215
Prishtine,2020-2021,Para-fillor,5-6,Femer,1229
Prizren,2020-2021,Para-fillor,5-6,Mashkull,898
Prizren,2020-2021,Para-fillor,5-6,Femer,796
Rahovec,2020-2021,Para-fillor,5-6,Mashkull,384
Rahovec,2020-2021,Para-fillor,5-6,Femer,328
Shterpce,2020-2021,Para-fillor,5-6,Mashkull,27
Shterpce,2020-2021,Para-fillor,5-6,Femer,17
Shtime,2020-2021,Para-fillor,5-6,Mashkull,213
Shtime,2020-2021,Para-fillor,5-6,Femer,157
Skenderaj,2020-2021,Para-fillor,5-6,Mashkull,304
Skenderaj,2020-2021,Para-fillor,5-6,Femer,299
Suhareke,2020-2021,Para-fillor,5-6,Mashkull,338
Suhareke,2020-2021,Para-fillor,5-6,Femer,314
Viti,2020-2021,Para-fillor,5-6,Mashkull,237
Viti,2020-2021,Para-fillor,5-6,Femer,245
Vushtrri,2020-2021,Para-fillor,5-6,Mashkull,488
Vushtrri,2020-2021,Para-fillor,5-6,Femer,377
Zubin Potok,2020-2021,Para-fillor,5-6,Mashkull,5
Zubin Potok,2020-2021,Para-fillor,5-6,Femer,4
Zveqan,2020-2021,Para-fillor,5-6,Mashkull,-
Zveqan,2020-2021,Para-fillor,5-6,Femer,-
Kllokot,2020-2021,Para-fillor,5-6,Mashkull,-
Kllokot,2020-2021,Para-fillor,5-6,Femer,-
Deqan,2021-2022,Para-fillor,5-6,Mashkull,220
Deqan,2021-2022,Para-fillor,5-6,Femer,243
Dargash,2021-2022,Para-fillor,5-6,Mashkull,159
Dargash,2021-2022,Para-fillor,5-6,Femer,123
Ferizaj,2021-2022,Para-fillor,5-6,Mashkull,769
Ferizaj,2021-2022,Para-fillor,5-6,Femer,781
Fushe Kosove,2021-2022,Para-fillor,5-6,Mashkull,70
Fushe Kosove,2021-2022,Para-fillor,5-6,Femer,73
Gjakove,2021-2022,Para-fillor,5-6,Mashkull,460
Gjakove,2021-2022,Para-fillor,5-6,Femer,435
Gjilan,2021-2022,Para-fillor,5-6,Mashkull,528
Gjilan,2021-2022,Para-fillor,5-6,Femer,500
