Komuna,Viti Akademik,Niveli Akademik,Mosha,Gjinia,Numri i nxenesve
Prishtine,2015-2016,mesem i larte,15-18,Mashkull,5602
Prishtine,2015-2016,mesem i larte,15-18,Femer,5481
Prizren,2015-2016,mesem i larte,15-18,Mashkull,4147
Prizren,2015-2016,mesem i larte,15-18,Femer,3544
Rahovec,2015-2016,mesem i larte,15-18,Mashkull,1371
Rahovec,2015-2016,mesem i larte,15-18,Femer,1085
Shterpce,2015-2016,mesem i larte,15-18,Mashkull,84
Shterpce,2015-2016,mesem i larte,15-18,Femer,70
Shtime,2015-2016,mesem i larte,15-18,Mashkull,774
Shtime,2015-2016,mesem i larte,15-18,Femer,699
Skenderaj,2015-2016,mesem i larte,15-18,Mashkull,1416
Skenderaj,2015-2016,mesem i larte,15-18,Femer,1261
Suhareke,2015-2016,mesem i larte,15-18,Mashkull,1672
Suhareke,2015-2016,mesem i larte,15-18,Femer,1424
Viti,2015-2016,mesem i larte,15-18,Mashkull,1209
Viti,2015-2016,mesem i larte,15-18,Femer,1119
Vushtrri,2015-2016,mesem i larte,15-18,Mashkull,1814
Vushtrri,2015-2016,mesem i larte,15-18,Femer,1554
Zubin Potok,2015-2016,mesem i larte,15-18,Mashkull,-
Zubin Potok,2015-2016,mesem i larte,15-18,Femer,-
Zveqan,2015-2016,mesem i larte,15-18,Mashkull,-
Zveqan,2015-2016,mesem i larte,15-18,Femer,-
Kllokot,2015-2016,mesem i larte,15-18,Mashkull,:
Kllokot,2015-2016,mesem i larte,15-18,Femer,:
Deqan,2016-2017,mesem i larte,15-18,Mashkull,754
Deqan,2016-2017,mesem i larte,15-18,Femer,574
Dargash,2016-2017,mesem i larte,15-18,Mashkull,334
Dargash,2016-2017,mesem i larte,15-18,Femer,263
Ferizaj,2016-2017,mesem i larte,15-18,Mashkull,3529
Ferizaj,2016-2017,mesem i larte,15-18,Femer,3256
Fushe Kosove,2016-2017,mesem i larte,15-18,Mashkull,787
Fushe Kosove,2016-2017,mesem i larte,15-18,Femer,816
Gjakove,2016-2017,mesem i larte,15-18,Mashkull,2302
Gjakove,2016-2017,mesem i larte,15-18,Femer,2049
Gjilan,2016-2017,mesem i larte,15-18,Mashkull,2589
Gjilan,2016-2017,mesem i larte,15-18,Femer,2873
Gllogovc,2016-2017,mesem i larte,15-18,Mashkull,1560
Gllogovc,2016-2017,mesem i larte,15-18,Femer,1471
Hani i Elezit,2016-2017,mesem i larte,15-18,Mashkull,157
Hani i Elezit,2016-2017,mesem i larte,15-18,Femer,186
Istog,2016-2017,mesem i larte,15-18,Mashkull,909
Istog,2016-2017,mesem i larte,15-18,Femer,761
Junik,2016-2017,mesem i larte,15-18,Mashkull,127
Junik,2016-2017,mesem i larte,15-18,Femer,93
Kaqanik,2016-2017,mesem i larte,15-18,Mashkull,801
Kaqanik,2016-2017,mesem i larte,15-18,Femer,725
Kamenice,2016-2017,mesem i larte,15-18,Mashkull,766
Kamenice,2016-2017,mesem i larte,15-18,Femer,685
Kline,2016-2017,mesem i larte,15-18,Mashkull,925
Kline,2016-2017,mesem i larte,15-18,Femer,889
Leposaviq,2016-2017,mesem i larte,15-18,Mashkull,-
Leposaviq,2016-2017,mesem i larte,15-18,Femer,-
Lipjan,2016-2017,mesem i larte,15-18,Mashkull,1645
Lipjan,2016-2017,mesem i larte,15-18,Femer,1461
Malisheve,2016-2017,mesem i larte,15-18,Mashkull,1639
Malisheve,2016-2017,mesem i larte,15-18,Femer,1673
Mamushe,2016-2017,mesem i larte,15-18,Mashkull,137
Mamushe,2016-2017,mesem i larte,15-18,Femer,84
Mitrovice,2016-2017,mesem i larte,15-18,Mashkull,2288
Mitrovice,2016-2017,mesem i larte,15-18,Femer,2163
Novoberde,2016-2017,mesem i larte,15-18,Mashkull,33
Novoberde,2016-2017,mesem i larte,15-18,Femer,28
Obiliq,2016-2017,mesem i larte,15-18,Mashkull,396
Obiliq,2016-2017,mesem i larte,15-18,Femer,352
Peje,2016-2017,mesem i larte,15-18,Mashkull,2566
Peje,2016-2017,mesem i larte,15-18,Femer,2422
Podujeve,2016-2017,mesem i larte,15-18,Mashkull,2270
Podujeve,2016-2017,mesem i larte,15-18,Femer,2290
Prishtine,2016-2017,mesem i larte,15-18,Mashkull,5617
Prishtine,2016-2017,mesem i larte,15-18,Femer,5524
Prizren,2016-2017,mesem i larte,15-18,Mashkull,4095
Prizren,2016-2017,mesem i larte,15-18,Femer,3668
Rahovec,2016-2017,mesem i larte,15-18,Mashkull,1381
Rahovec,2016-2017,mesem i larte,15-18,Femer,1085
Shterpce,2016-2017,mesem i larte,15-18,Mashkull,114
Shterpce,2016-2017,mesem i larte,15-18,Femer,68
Shtime,2016-2017,mesem i larte,15-18,Mashkull,796
Shtime,2016-2017,mesem i larte,15-18,Femer,742
Skenderaj,2016-2017,mesem i larte,15-18,Mashkull,1393
Skenderaj,2016-2017,mesem i larte,15-18,Femer,1238
Suhareke,2016-2017,mesem i larte,15-18,Mashkull,1746
Suhareke,2016-2017,mesem i larte,15-18,Femer,1447
Viti,2016-2017,mesem i larte,15-18,Mashkull,1298
Viti,2016-2017,mesem i larte,15-18,Femer,1166
Vushtrri,2016-2017,mesem i larte,15-18,Mashkull,1846
Vushtrri,2016-2017,mesem i larte,15-18,Femer,1595
Zubin Potok,2016-2017,mesem i larte,15-18,Mashkull,-
Zubin Potok,2016-2017,mesem i larte,15-18,Femer,-
Zveqan,2016-2017,mesem i larte,15-18,Mashkull,-
Zveqan,2016-2017,mesem i larte,15-18,Femer,-
Kllokot,2016-2017,mesem i larte,15-18,Mashkull,:
Kllokot,2016-2017,mesem i larte,15-18,Femer,:
Deqan,2017-2018,mesem i larte,15-18,Mashkull,719
Deqan,2017-2018,mesem i larte,15-18,Femer,566
Dargash,2017-2018,mesem i larte,15-18,Mashkull,331
Dargash,2017-2018,mesem i larte,15-18,Femer,278
Ferizaj,2017-2018,mesem i larte,15-18,Mashkull,3489
Ferizaj,2017-2018,mesem i larte,15-18,Femer,3293
Fushe Kosove,2017-2018,mesem i larte,15-18,Mashkull,801
Fushe Kosove,2017-2018,mesem i larte,15-18,Femer,875
Gjakove,2017-2018,mesem i larte,15-18,Mashkull,2341
Gjakove,2017-2018,mesem i larte,15-18,Femer,2214
Gjilan,2017-2018,mesem i larte,15-18,Mashkull,2673
Gjilan,2017-2018,mesem i larte,15-18,Femer,2802
Gllogovc,2017-2018,mesem i larte,15-18,Mashkull,1618
Gllogovc,2017-2018,mesem i larte,15-18,Femer,1490
Hani i Elezit,2017-2018,mesem i larte,15-18,Mashkull,159
Hani i Elezit,2017-2018,mesem i larte,15-18,Femer,176
Istog,2017-2018,mesem i larte,15-18,Mashkull,850
Istog,2017-2018,mesem i larte,15-18,Femer,731
Junik,2017-2018,mesem i larte,15-18,Mashkull,105
Junik,2017-2018,mesem i larte,15-18,Femer,90
Kaqanik,2017-2018,mesem i larte,15-18,Mashkull,765
Kaqanik,2017-2018,mesem i larte,15-18,Femer,759
Kamenice,2017-2018,mesem i larte,15-18,Mashkull,750
Kamenice,2017-2018,mesem i larte,15-18,Femer,669
Kline,2017-2018,mesem i larte,15-18,Mashkull,942
Kline,2017-2018,mesem i larte,15-18,Femer,923
Leposaviq,2017-2018,mesem i larte,15-18,Mashkull,:
Leposaviq,2017-2018,mesem i larte,15-18,Femer,:
Lipjan,2017-2018,mesem i larte,15-18,Mashkull,1657
Lipjan,2017-2018,mesem i larte,15-18,Femer,1524
Malisheve,2017-2018,mesem i larte,15-18,Mashkull,1497
Malisheve,2017-2018,mesem i larte,15-18,Femer,1682
Mamushe,2017-2018,mesem i larte,15-18,Mashkull,:
Mamushe,2017-2018,mesem i larte,15-18,Femer,:
Mitrovice,2017-2018,mesem i larte,15-18,Mashkull,2244
Mitrovice,2017-2018,mesem i larte,15-18,Femer,2339
Novoberde,2017-2018,mesem i larte,15-18,Mashkull,41
Novoberde,2017-2018,mesem i larte,15-18,Femer,30
Obiliq,2017-2018,mesem i larte,15-18,Mashkull,407
Obiliq,2017-2018,mesem i larte,15-18,Femer,390
Peje,2017-2018,mesem i larte,15-18,Mashkull,2554
Peje,2017-2018,mesem i larte,15-18,Femer,2512
Podujeve,2017-2018,mesem i larte,15-18,Mashkull,2333
Podujeve,2017-2018,mesem i larte,15-18,Femer,2436
Prishtine,2017-2018,mesem i larte,15-18,Mashkull,5681
Prishtine,2017-2018,mesem i larte,15-18,Femer,5478
Prizren,2017-2018,mesem i larte,15-18,Mashkull,4131
Prizren,2017-2018,mesem i larte,15-18,Femer,3781
Rahovec,2017-2018,mesem i larte,15-18,Mashkull,1222
Rahovec,2017-2018,mesem i larte,15-18,Femer,1063
Shterpce,2017-2018,mesem i larte,15-18,Mashkull,90
Shterpce,2017-2018,mesem i larte,15-18,Femer,86
Shtime,2017-2018,mesem i larte,15-18,Mashkull,816
Shtime,2017-2018,mesem i larte,15-18,Femer,780
Skenderaj,2017-2018,mesem i larte,15-18,Mashkull,1409
Skenderaj,2017-2018,mesem i larte,15-18,Femer,1230
Suhareke,2017-2018,mesem i larte,15-18,Mashkull,1642
Suhareke,2017-2018,mesem i larte,15-18,Femer,1437
Viti,2017-2018,mesem i larte,15-18,Mashkull,1218
Viti,2017-2018,mesem i larte,15-18,Femer,1124
Vushtrri,2017-2018,mesem i larte,15-18,Mashkull,1886
Vushtrri,2017-2018,mesem i larte,15-18,Femer,1684
Zubin Potok,2017-2018,mesem i larte,15-18,Mashkull,:
Zubin Potok,2017-2018,mesem i larte,15-18,Femer,:
Zveqan,2017-2018,mesem i larte,15-18,Mashkull,:
Zveqan,2017-2018,mesem i larte,15-18,Femer,:
Kllokot,2017-2018,mesem i larte,15-18,Mashkull,-
Kllokot,2017-2018,mesem i larte,15-18,Femer,-
Deqan,2018-2019,mesem i larte,15-18,Mashkull,694
Deqan,2018-2019,mesem i larte,15-18,Femer,517
Dargash,2018-2019,mesem i larte,15-18,Mashkull,301
Dargash,2018-2019,mesem i larte,15-18,Femer,283
Ferizaj,2018-2019,mesem i larte,15-18,Mashkull,321
Ferizaj,2018-2019,mesem i larte,15-18,Femer,31
Fushe Kosove,2018-2019,mesem i larte,15-18,Mashkull,744
Fushe Kosove,2018-2019,mesem i larte,15-18,Femer,858
Gjakove,2018-2019,mesem i larte,15-18,Mashkull,2331
Gjakove,2018-2019,mesem i larte,15-18,Femer,2184
Gjilan,2018-2019,mesem i larte,15-18,Mashkull,2501
Gjilan,2018-2019,mesem i larte,15-18,Femer,2531
Gllogovc,2018-2019,mesem i larte,15-18,Mashkull,1471
Gllogovc,2018-2019,mesem i larte,15-18,Femer,1413
Hani i Elezit,2018-2019,mesem i larte,15-18,Mashkull,156
Hani i Elezit,2018-2019,mesem i larte,15-18,Femer,146
Istog,2018-2019,mesem i larte,15-18,Mashkull,854
Istog,2018-2019,mesem i larte,15-18,Femer,703
Junik,2018-2019,mesem i larte,15-18,Mashkull,97
Junik,2018-2019,mesem i larte,15-18,Femer,91
Kaqanik,2018-2019,mesem i larte,15-18,Mashkull,754
Kaqanik,2018-2019,mesem i larte,15-18,Femer,691
Kamenice,2018-2019,mesem i larte,15-18,Mashkull,665
Kamenice,2018-2019,mesem i larte,15-18,Femer,594
Kline,2018-2019,mesem i larte,15-18,Mashkull,866
Kline,2018-2019,mesem i larte,15-18,Femer,849
Leposaviq,2018-2019,mesem i larte,15-18,Mashkull,-
Leposaviq,2018-2019,mesem i larte,15-18,Femer,-
Lipjan,2018-2019,mesem i larte,15-18,Mashkull,1497
Lipjan,2018-2019,mesem i larte,15-18,Femer,1468
Malisheve,2018-2019,mesem i larte,15-18,Mashkull,1254
Malisheve,2018-2019,mesem i larte,15-18,Femer,146
Mamushe,2018-2019,mesem i larte,15-18,Mashkull,90
Mamushe,2018-2019,mesem i larte,15-18,Femer,88
Mitrovice,2018-2019,mesem i larte,15-18,Mashkull,2122
Mitrovice,2018-2019,mesem i larte,15-18,Femer,2262
Novoberde,2018-2019,mesem i larte,15-18,Mashkull,46
Novoberde,2018-2019,mesem i larte,15-18,Femer,30
Obiliq,2018-2019,mesem i larte,15-18,Mashkull,384
Obiliq,2018-2019,mesem i larte,15-18,Femer,369
Peje,2018-2019,mesem i larte,15-18,Mashkull,2385
Peje,2018-2019,mesem i larte,15-18,Femer,232
Podujeve,2018-2019,mesem i larte,15-18,Mashkull,2201
Podujeve,2018-2019,mesem i larte,15-18,Femer,2267
Prishtine,2018-2019,mesem i larte,15-18,Mashkull,5248
Prishtine,2018-2019,mesem i larte,15-18,Femer,5383
Prizren,2018-2019,mesem i larte,15-18,Mashkull,376
Prizren,2018-2019,mesem i larte,15-18,Femer,3604
Rahovec,2018-2019,mesem i larte,15-18,Mashkull,1085
Rahovec,2018-2019,mesem i larte,15-18,Femer,933
Shterpce,2018-2019,mesem i larte,15-18,Mashkull,97
Shterpce,2018-2019,mesem i larte,15-18,Femer,66
Shtime,2018-2019,mesem i larte,15-18,Mashkull,773
Shtime,2018-2019,mesem i larte,15-18,Femer,671
Skenderaj,2018-2019,mesem i larte,15-18,Mashkull,1338
Skenderaj,2018-2019,mesem i larte,15-18,Femer,114
Suhareke,2018-2019,mesem i larte,15-18,Mashkull,1417
Suhareke,2018-2019,mesem i larte,15-18,Femer,1295
Viti,2018-2019,mesem i larte,15-18,Mashkull,1163
Viti,2018-2019,mesem i larte,15-18,Femer,998
Vushtrri,2018-2019,mesem i larte,15-18,Mashkull,1685
Vushtrri,2018-2019,mesem i larte,15-18,Femer,1538
Zubin Potok,2018-2019,mesem i larte,15-18,Mashkull,-
Zubin Potok,2018-2019,mesem i larte,15-18,Femer,-
Zveqan,2018-2019,mesem i larte,15-18,Mashkull,-
Zveqan,2018-2019,mesem i larte,15-18,Femer,-
Kllokot,2018-2019,mesem i larte,15-18,Mashkull,-
Kllokot,2018-2019,mesem i larte,15-18,Femer,-
Deqan,2019-2020,mesem i larte,15-18,Mashkull,633
Deqan,2019-2020,mesem i larte,15-18,Femer,502
Dargash,2019-2020,mesem i larte,15-18,Mashkull,257
Dargash,2019-2020,mesem i larte,15-18,Femer,267
Ferizaj,2019-2020,mesem i larte,15-18,Mashkull,3061
Ferizaj,2019-2020,mesem i larte,15-18,Femer,3159
Fushe Kosove,2019-2020,mesem i larte,15-18,Mashkull,755
Fushe Kosove,2019-2020,mesem i larte,15-18,Femer,809
Gjakove,2019-2020,mesem i larte,15-18,Mashkull,2181
Gjakove,2019-2020,mesem i larte,15-18,Femer,2061
Gjilan,2019-2020,mesem i larte,15-18,Mashkull,2311
Gjilan,2019-2020,mesem i larte,15-18,Femer,2367
Gllogovc,2019-2020,mesem i larte,15-18,Mashkull,1342
Gllogovc,2019-2020,mesem i larte,15-18,Femer,1259
Hani i Elezit,2019-2020,mesem i larte,15-18,Mashkull,152
Hani i Elezit,2019-2020,mesem i larte,15-18,Femer,155
Istog,2019-2020,mesem i larte,15-18,Mashkull,763
Istog,2019-2020,mesem i larte,15-18,Femer,709
Junik,2019-2020,mesem i larte,15-18,Mashkull,97
Junik,2019-2020,mesem i larte,15-18,Femer,87
Kaqanik,2019-2020,mesem i larte,15-18,Mashkull,674
Kaqanik,2019-2020,mesem i larte,15-18,Femer,587
Kamenice,2019-2020,mesem i larte,15-18,Mashkull,593
Kamenice,2019-2020,mesem i larte,15-18,Femer,480
Kline,2019-2020,mesem i larte,15-18,Mashkull,773
Kline,2019-2020,mesem i larte,15-18,Femer,789
Leposaviq,2019-2020,mesem i larte,15-18,Mashkull,-
Leposaviq,2019-2020,mesem i larte,15-18,Femer,-
Lipjan,2019-2020,mesem i larte,15-18,Mashkull,1363
Lipjan,2019-2020,mesem i larte,15-18,Femer,1327
Malisheve,2019-2020,mesem i larte,15-18,Mashkull,1198
Malisheve,2019-2020,mesem i larte,15-18,Femer,1297
Mamushe,2019-2020,mesem i larte,15-18,Mashkull,84
Mamushe,2019-2020,mesem i larte,15-18,Femer,74
Mitrovice,2019-2020,mesem i larte,15-18,Mashkull,1938
Mitrovice,2019-2020,mesem i larte,15-18,Femer,2201
Novoberde,2019-2020,mesem i larte,15-18,Mashkull,30
Novoberde,2019-2020,mesem i larte,15-18,Femer,17
Obiliq,2019-2020,mesem i larte,15-18,Mashkull,380
Obiliq,2019-2020,mesem i larte,15-18,Femer,353
Peje,2019-2020,mesem i larte,15-18,Mashkull,2120
Peje,2019-2020,mesem i larte,15-18,Femer,2113
Podujeve,2019-2020,mesem i larte,15-18,Mashkull,2056
Podujeve,2019-2020,mesem i larte,15-18,Femer,2065
Prishtine,2019-2020,mesem i larte,15-18,Mashkull,4904
Prishtine,2019-2020,mesem i larte,15-18,Femer,5096
Prizren,2019-2020,mesem i larte,15-18,Mashkull,3566
Prizren,2019-2020,mesem i larte,15-18,Femer,3207
Rahovec,2019-2020,mesem i larte,15-18,Mashkull,915
Rahovec,2019-2020,mesem i larte,15-18,Femer,811
Shterpce,2019-2020,mesem i larte,15-18,Mashkull,83
Shterpce,2019-2020,mesem i larte,15-18,Femer,57
Shtime,2019-2020,mesem i larte,15-18,Mashkull,795
Shtime,2019-2020,mesem i larte,15-18,Femer,485
Skenderaj,2019-2020,mesem i larte,15-18,Mashkull,1204
Skenderaj,2019-2020,mesem i larte,15-18,Femer,1024
Suhareke,2019-2020,mesem i larte,15-18,Mashkull,1234
Suhareke,2019-2020,mesem i larte,15-18,Femer,1109
Viti,2019-2020,mesem i larte,15-18,Mashkull,901
Viti,2019-2020,mesem i larte,15-18,Femer,782
Vushtrri,2019-2020,mesem i larte,15-18,Mashkull,1489
Vushtrri,2019-2020,mesem i larte,15-18,Femer,1326
Zubin Potok,2019-2020,mesem i larte,15-18,Mashkull,-
Zubin Potok,2019-2020,mesem i larte,15-18,Femer,-
Zveqan,2019-2020,mesem i larte,15-18,Mashkull,-
Zveqan,2019-2020,mesem i larte,15-18,Femer,-
Kllokot,2019-2020,mesem i larte,15-18,Mashkull,-
Kllokot,2019-2020,mesem i larte,15-18,Femer,-
Deqan,2020-2021,mesem i larte,15-18,Mashkull,556
Deqan,2020-2021,mesem i larte,15-18,Femer,507
Dargash,2020-2021,mesem i larte,15-18,Mashkull,250
Dargash,2020-2021,mesem i larte,15-18,Femer,275
Ferizaj,2020-2021,mesem i larte,15-18,Mashkull,2945
Ferizaj,2020-2021,mesem i larte,15-18,Femer,3073
Fushe Kosove,2020-2021,mesem i larte,15-18,Mashkull,754
Fushe Kosove,2020-2021,mesem i larte,15-18,Femer,774
Gjakove,2020-2021,mesem i larte,15-18,Mashkull,2031
Gjakove,2020-2021,mesem i larte,15-18,Femer,1827
Gjilan,2020-2021,mesem i larte,15-18,Mashkull,2082
Gjilan,2020-2021,mesem i larte,15-18,Femer,2326
Gllogovc,2020-2021,mesem i larte,15-18,Mashkull,1272
Gllogovc,2020-2021,mesem i larte,15-18,Femer,1215
Hani i Elezit,2020-2021,mesem i larte,15-18,Mashkull,135
Hani i Elezit,2020-2021,mesem i larte,15-18,Femer,168
Istog,2020-2021,mesem i larte,15-18,Mashkull,761
Istog,2020-2021,mesem i larte,15-18,Femer,674
Junik,2020-2021,mesem i larte,15-18,Mashkull,89
Junik,2020-2021,mesem i larte,15-18,Femer,101
Kaqanik,2020-2021,mesem i larte,15-18,Mashkull,657
Kaqanik,2020-2021,mesem i larte,15-18,Femer,506
Kamenice,2020-2021,mesem i larte,15-18,Mashkull,536
Kamenice,2020-2021,mesem i larte,15-18,Femer,399
Kline,2020-2021,mesem i larte,15-18,Mashkull,728
Kline,2020-2021,mesem i larte,15-18,Femer,718
Leposaviq,2020-2021,mesem i larte,15-18,Mashkull,-
Leposaviq,2020-2021,mesem i larte,15-18,Femer,-
Lipjan,2020-2021,mesem i larte,15-18,Mashkull,1342
Lipjan,2020-2021,mesem i larte,15-18,Femer,1243
Malisheve,2020-2021,mesem i larte,15-18,Mashkull,1084
Malisheve,2020-2021,mesem i larte,15-18,Femer,1184
Mamushe,2020-2021,mesem i larte,15-18,Mashkull,99
Mamushe,2020-2021,mesem i larte,15-18,Femer,68
Mitrovice,2020-2021,mesem i larte,15-18,Mashkull,1873
Mitrovice,2020-2021,mesem i larte,15-18,Femer,2013
Novoberde,2020-2021,mesem i larte,15-18,Mashkull,22
Novoberde,2020-2021,mesem i larte,15-18,Femer,20
Obiliq,2020-2021,mesem i larte,15-18,Mashkull,382
Obiliq,2020-2021,mesem i larte,15-18,Femer,321
Peje,2020-2021,mesem i larte,15-18,Mashkull,1986
Peje,2020-2021,mesem i larte,15-18,Femer,1923
Podujeve,2020-2021,mesem i larte,15-18,Mashkull,1943
Podujeve,2020-2021,mesem i larte,15-18,Femer,1920
Prishtine,2020-2021,mesem i larte,15-18,Mashkull,4992
Prishtine,2020-2021,mesem i larte,15-18,Femer,5028
Prizren,2020-2021,mesem i larte,15-18,Mashkull,3331
Prizren,2020-2021,mesem i larte,15-18,Femer,3172
Rahovec,2020-2021,mesem i larte,15-18,Mashkull,871
Rahovec,2020-2021,mesem i larte,15-18,Femer,749
Shterpce,2020-2021,mesem i larte,15-18,Mashkull,70
Shterpce,2020-2021,mesem i larte,15-18,Femer,50
Shtime,2020-2021,mesem i larte,15-18,Mashkull,605
Shtime,2020-2021,mesem i larte,15-18,Femer,547
Skenderaj,2020-2021,mesem i larte,15-18,Mashkull,1132
Skenderaj,2020-2021,mesem i larte,15-18,Femer,930
Suhareke,2020-2021,mesem i larte,15-18,Mashkull,1089
Suhareke,2020-2021,mesem i larte,15-18,Femer,999
Viti,2020-2021,mesem i larte,15-18,Mashkull,913
Viti,2020-2021,mesem i larte,15-18,Femer,803
Vushtrri,2020-2021,mesem i larte,15-18,Mashkull,1462
Vushtrri,2020-2021,mesem i larte,15-18,Femer,1217
Zubin Potok,2020-2021,mesem i larte,15-18,Mashkull,-
Zubin Potok,2020-2021,mesem i larte,15-18,Femer,-
Zveqan,2020-2021,mesem i larte,15-18,Mashkull,-
Zveqan,2020-2021,mesem i larte,15-18,Femer,-
Kllokot,2020-2021,mesem i larte,15-18,Mashkull,-
Kllokot,2020-2021,mesem i larte,15-18,Femer,-
Deqan,2021-2022,mesem i larte,15-18,Mashkull,551
Deqan,2021-2022,mesem i larte,15-18,Femer,492
Dargash,2021-2022,mesem i larte,15-18,Mashkull,237
Dargash,2021-2022,mesem i larte,15-18,Femer,242
Ferizaj,2021-2022,mesem i larte,15-18,Mashkull,2975
Ferizaj,2021-2022,mesem i larte,15-18,Femer,2830
Fushe Kosove,2021-2022,mesem i larte,15-18,Mashkull,735
Fushe Kosove,2021-2022,mesem i larte,15-18,Femer,745
Gjakove,2021-2022,mesem i larte,15-18,Mashkull,1902
Gjakove,2021-2022,mesem i larte,15-18,Femer,1753
Gjilan,2021-2022,mesem i larte,15-18,Mashkull,1983
Gjilan,2021-2022,mesem i larte,15-18,Femer,2197
Gllogovc,2021-2022,mesem i larte,15-18,Mashkull,1211
Gllogovc,2021-2022,mesem i larte,15-18,Femer,1180
Hani i Elezit,2021-2022,mesem i larte,15-18,Mashkull,141
Hani i Elezit,2021-2022,mesem i larte,15-18,Femer,165
Istog,2021-2022,mesem i larte,15-18,Mashkull,717
Istog,2021-2022,mesem i larte,15-18,Femer,620
Junik,2021-2022,mesem i larte,15-18,Mashkull,88
Junik,2021-2022,mesem i larte,15-18,Femer,90
Kaqanik,2021-2022,mesem i larte,15-18,Mashkull,545
Kaqanik,2021-2022,mesem i larte,15-18,Femer,466
Kamenice,2021-2022,mesem i larte,15-18,Mashkull,441
Kamenice,2021-2022,mesem i larte,15-18,Femer,332
Kline,2021-2022,mesem i larte,15-18,Mashkull,683
Kline,2021-2022,mesem i larte,15-18,Femer,662
Leposaviq,2021-2022,mesem i larte,15-18,Mashkull,-
Leposaviq,2021-2022,mesem i larte,15-18,Femer,-
Lipjan,2021-2022,mesem i larte,15-18,Mashkull,1263
Lipjan,2021-2022,mesem i larte,15-18,Femer,1218
Malisheve,2021-2022,mesem i larte,15-18,Mashkull,986
Malisheve,2021-2022,mesem i larte,15-18,Femer,1116
Mamushe,2021-2022,mesem i larte,15-18,Mashkull,91
Mamushe,2021-2022,mesem i larte,15-18,Femer,66
Mitrovice,2021-2022,mesem i larte,15-18,Mashkull,1774
Mitrovice,2021-2022,mesem i larte,15-18,Femer,1909
Novoberde,2021-2022,mesem i larte,15-18,Mashkull,18
Novoberde,2021-2022,mesem i larte,15-18,Femer,27
Obiliq,2021-2022,mesem i larte,15-18,Mashkull,370
Obiliq,2021-2022,mesem i larte,15-18,Femer,302
Peje,2021-2022,mesem i larte,15-18,Mashkull,1901
Peje,2021-2022,mesem i larte,15-18,Femer,1840
Podujeve,2021-2022,mesem i larte,15-18,Mashkull,1877
Podujeve,2021-2022,mesem i larte,15-18,Femer,1766
Prishtine,2021-2022,mesem i larte,15-18,Mashkull,4925
Prishtine,2021-2022,mesem i larte,15-18,Femer,4824
Prizren,2021-2022,mesem i larte,15-18,Mashkull,3094
Prizren,2021-2022,mesem i larte,15-18,Femer,2949
Rahovec,2021-2022,mesem i larte,15-18,Mashkull,759
Rahovec,2021-2022,mesem i larte,15-18,Femer,653
Shterpce,2021-2022,mesem i larte,15-18,Mashkull,60
Shterpce,2021-2022,mesem i larte,15-18,Femer,46
Shtime,2021-2022,mesem i larte,15-18,Mashkull,636
Shtime,2021-2022,mesem i larte,15-18,Femer,560
Skenderaj,2021-2022,mesem i larte,15-18,Mashkull,1101
Skenderaj,2021-2022,mesem i larte,15-18,Femer,922
Suhareke,2021-2022,mesem i larte,15-18,Mashkull,1014
Suhareke,2021-2022,mesem i larte,15-18,Femer,994
Viti,2021-2022,mesem i larte,15-18,Mashkull,794
Viti,2021-2022,mesem i larte,15-18,Femer,746
Vushtrri,2021-2022,mesem i larte,15-18,Mashkull,1434
Vushtrri,2021-2022,mesem i larte,15-18,Femer,1120
Zubin Potok,2021-2022,mesem i larte,15-18,Mashkull,-
Zubin Potok,2021-2022,mesem i larte,15-18,Femer,-
Zveqan,2021-2022,mesem i larte,15-18,Mashkull,-
Zveqan,2021-2022,mesem i larte,15-18,Femer,-
Kllokot,2021-2022,mesem i larte,15-18,Mashkull,-
Kllokot,2021-2022,mesem i larte,15-18,Femer,-
Deqan,2022-2023,mesem i larte,15-18,Mashkull,519
Deqan,2022-2023,mesem i larte,15-18,Femer,463
Dargash,2022-2023,mesem i larte,15-18,Mashkull,206
Dargash,2022-2023,mesem i larte,15-18,Femer,231
Ferizaj,2022-2023,mesem i larte,15-18,Mashkull,2715
Ferizaj,2022-2023,mesem i larte,15-18,Femer,2800
Fushe Kosove,2022-2023,mesem i larte,15-18,Mashkull,686
Fushe Kosove,2022-2023,mesem i larte,15-18,Femer,689
Gjakove,2022-2023,mesem i larte,15-18,Mashkull,1746
Gjakove,2022-2023,mesem i larte,15-18,Femer,1650
Gjilan,2022-2023,mesem i larte,15-18,Mashkull,1903
Gjilan,2022-2023,mesem i larte,15-18,Femer,2019
Gllogovc,2022-2023,mesem i larte,15-18,Mashkull,1119
Gllogovc,2022-2023,mesem i larte,15-18,Femer,1112
Hani i Elezit,2022-2023,mesem i larte,15-18,Mashkull,122
Hani i Elezit,2022-2023,mesem i larte,15-18,Femer,143
Istog,2022-2023,mesem i larte,15-18,Mashkull,703
Istog,2022-2023,mesem i larte,15-18,Femer,566
Junik,2022-2023,mesem i larte,15-18,Mashkull,86
Junik,2022-2023,mesem i larte,15-18,Femer,82
Kaqanik,2022-2023,mesem i larte,15-18,Mashkull,537
Kaqanik,2022-2023,mesem i larte,15-18,Femer,442
Kamenice,2022-2023,mesem i larte,15-18,Mashkull,391
Kamenice,2022-2023,mesem i larte,15-18,Femer,323
Kline,2022-2023,mesem i larte,15-18,Mashkull,671
Kline,2022-2023,mesem i larte,15-18,Femer,613
